date	country	cases
2030-07-22	tropics	181
2030-07-29	north	53
2030-07-29	south	2726
2030-07-29	tropics	194
2030-08-05	north	45
2030-08-05	south	3073
2030-08-05	tropics	212
2030-08-12	north	40
2030-08-12	south	3187
2030-08-12	tropics	227
2030-08-19	north	36
2030-08-19	south	3075
2030-08-19	tropics	239
2030-08-26	north	34
2030-08-26	south	2749
2030-08-26	tropics	255
2030-09-02	north	31
2030-09-02	south	2300
2030-09-02	tropics	268
2030-09-09	north	29
2030-09-09	south	1827
2030-09-09	tropics	281
2030-09-16	north	28
2030-09-16	south	1392
2030-09-16	tropics	288
2030-09-23	north	27
2030-09-23	south	1021
2030-09-23	tropics	298
2030-09-30	north	27
2030-09-30	south	720
2030-09-30	tropics	308
2030-10-07	north	27
2030-10-07	south	503
2030-10-07	tropics	319
2030-10-14	north	27
2030-10-14	south	341
2030-10-14	tropics	323
2030-10-21	north	29
2030-10-21	south	224
2030-10-21	tropics	326
2030-10-28	north	30
2030-10-28	south	145
2030-10-28	tropics	328
2030-11-04	north	32
2030-11-04	south	92
2030-11-04	tropics	327
2030-11-11	north	35
2030-11-11	south	58
2030-11-11	tropics	329
2030-11-18	north	40
2030-11-18	south	35
2030-11-18	tropics	325
2030-11-25	north	45
2030-11-25	south	22
2030-11-25	tropics	321
2030-12-02	north	51
2030-12-02	south	14
2030-12-02	tropics	314
2030-12-09	north	58
2030-12-09	south	8
2030-12-09	tropics	306
2030-12-16	north	67
2030-12-16	south	5
2030-12-16	tropics	304
2030-12-23	north	78
2030-12-23	south	3
2030-12-23	tropics	295
2030-12-30	north	91
2030-12-30	south	2
2030-12-30	tropics	282
2031-01-06	north	108
2031-01-06	south	1
2031-01-06	tropics	275
2031-01-13	north	128
2031-01-13	south	1
2031-01-13	tropics	266
2031-01-20	north	150
2031-01-20	south	0
2031-01-20	tropics	256
2031-01-27	north	178
2031-01-27	south	0
2031-01-27	tropics	245
2031-02-03	north	204
2031-02-03	south	0
2031-02-03	tropics	232
2031-02-10	north	228
2031-02-10	south	0
2031-02-10	tropics	219
2031-02-17	north	253
2031-02-17	south	1
2031-02-17	tropics	211
2031-02-24	north	276
2031-02-24	south	0
2031-02-24	tropics	206
2031-03-03	north	288
2031-03-03	south	1
2031-03-03	tropics	197
2031-03-10	north	294
2031-03-10	south	1
2031-03-10	tropics	189
2031-03-17	north	294
2031-03-17	south	1
2031-03-17	tropics	179
2031-03-24	north	287
2031-03-24	south	1
2031-03-24	tropics	173
2031-03-31	north	276
2031-03-31	south	1
2031-03-31	tropics	164
2031-04-07	north	254
2031-04-07	south	1
2031-04-07	tropics	154
2031-04-14	north	230
2031-04-14	south	1
2031-04-14	tropics	149
2031-04-21	north	204
2031-04-21	south	1
2031-04-21	tropics	142
2031-04-28	north	178
2031-04-28	south	1
2031-04-28	tropics	136
2031-05-05	north	154
2031-05-05	south	1
2031-05-05	tropics	131
2031-05-12	north	128
2031-05-12	south	1
2031-05-12	tropics	126
2031-05-19	north	106
2031-05-19	south	1
2031-05-19	tropics	122
2031-05-26	north	85
2031-05-26	south	1
2031-05-26	tropics	119
2031-06-02	north	69
2031-06-02	south	1
2031-06-02	tropics	117
2031-06-09	north	55
2031-06-09	south	2
2031-06-09	tropics	114
2031-06-16	north	42
2031-06-16	south	2
2031-06-16	tropics	110
2031-06-23	north	35
2031-06-23	south	2
2031-06-23	tropics	109
2031-06-30	north	26
2031-06-30	south	2
2031-06-30	tropics	109
2031-07-07	north	21
2031-07-07	south	2
2031-07-07	tropics	111
2031-07-14	north	17
2031-07-14	south	2
2031-07-14	tropics	110
2031-07-21	north	14
2031-07-21	south	2
2031-07-21	tropics	112
2031-07-28	north	11
2031-07-28	south	2
2031-07-28	tropics	113
2031-08-04	north	9
2031-08-04	south	2
2031-08-04	tropics	117
2031-08-11	north	8
2031-08-11	south	2
2031-08-11	tropics	119
2031-08-18	north	7
2031-08-18	south	2
2031-08-18	tropics	123
2031-08-25	north	6
2031-08-25	south	2
2031-08-25	tropics	127
2031-09-01	north	5
2031-09-01	south	2
2031-09-01	tropics	131
2031-09-08	north	5
2031-09-08	south	1
2031-09-08	tropics	135
2031-09-15	north	5
2031-09-15	south	1
2031-09-15	tropics	140
2031-09-22	north	5
2031-09-22	south	1
2031-09-22	tropics	145
2031-09-29	north	6
2031-09-29	south	1
2031-09-29	tropics	148
2031-10-06	north	6
2031-10-06	south	1
2031-10-06	tropics	153
2031-10-13	north	7
2031-10-13	south	1
2031-10-13	tropics	157
2031-10-20	north	8
2031-10-20	south	1
2031-10-20	tropics	164
2031-10-27	north	9
