strain,tsne_x,tsne_y
53a3ea5,-31.221960923402797,44.213634205364706
47492838,-31.2219806824271,44.213647688612426
42c66767,-31.221964766389128,44.213485665214705
4495b195,-31.2220002600265,44.21363408792082
c4772f0,-31.222072389187105,44.21372688629786
3b58cb80,-31.221190297078802,44.21337706868019
1eed06a0,-31.222022005338722,44.21382674816054
3c893236,-28.59219626079196,40.002718956193306
248124f8,-31.167577737162567,44.12930805880395
43c25e7a,-31.21022687277764,44.16726767228239
28e3fb80,-31.18831349683558,44.079913538915584
530209d3,-31.296071433105418,44.580221104876536
7a2b5616,-31.332593724659137,44.760773624735926
29c5e74b,-31.332206971148963,44.758603226609694
7d9a9228,-31.332208240369372,44.760621556192575
2b21639e,-31.332443111675587,44.758812479595946
7d65aab6,-29.77913494375655,38.40075771097903
7649ceff,-29.649992502592276,38.47338593527296
2531d6c3,-29.831454020986882,38.36977666930185
3f8f3413,-29.13647739676619,38.76297131546917
7aedb0ed,-28.74746221898103,39.471967814756965
7d2c979f,-28.028811576381365,39.39421656001635
4a24569f,-27.905123263981125,39.46212311068611
273ed4e9,-28.022538528463482,39.39540679694616
3b3059d,-28.026671682470912,39.3934530448793
225ffd27,-28.95832753624224,39.92039993111272
f8472f2,-28.02510476734562,39.39329696835081
6d9bee9b,-28.00253374259289,39.29178995583105
3ade1e75,-28.010121238690935,39.35763100109317
2349fa22,-28.000163268157056,39.275404185359754
1c696a30,-28.02312291194875,39.1460510723797
75b3afb7,-28.035320821474077,39.13914084062693
7b666255,-28.361086718998607,39.176939436321554
3d009fa6,-27.805175597765594,38.94355767988613
b9c298c,-27.47075447193813,39.12434888133578
be30d12,-28.00019494411061,39.259529457857845
2a31a56,-28.046111195522027,39.17726954844066
3bf320c5,-28.33248844392996,39.058442888401096
5d54ef98,-28.904895707977296,39.03837574893339
258f8cc2,-28.397747808088553,39.09872670091532
c123392,-28.37058935306377,39.07160308253822
6c2aea36,-28.450626020291953,39.15858089736357
3cb74862,-28.417400112034127,39.23969510318308
7db0f045,-28.406132333830133,39.121432976512345
3880a8a,-28.444072711128335,39.12437891228182
