date	country	variant	sequences
2028-07-23	south	12	1
2028-07-23	south	20	2
2028-07-23	south	27	3
2028-07-23	tropics	5	4
2028-07-23	tropics	20	10
2028-07-23	tropics	27	41
2028-07-30	north	27	1
2028-07-30	south	20	2
2028-07-30	south	27	2
2028-07-30	tropics	5	10
2028-07-30	tropics	16	1
2028-07-30	tropics	20	15
2028-07-30	tropics	27	66
2028-08-06	north	20	2
2028-08-06	south	20	2
2028-08-06	south	27	5
2028-08-06	tropics	5	12
2028-08-06	tropics	12	1
2028-08-06	tropics	20	13
2028-08-06	tropics	27	64
2028-08-13	south	5	1
2028-08-13	south	20	2
2028-08-13	tropics	5	11
2028-08-13	tropics	20	10
2028-08-13	tropics	27	68
2028-08-20	north	20	1
2028-08-20	south	5	2
2028-08-20	south	20	1
2028-08-20	south	27	6
2028-08-20	tropics	5	15
2028-08-20	tropics	20	11
2028-08-20	tropics	27	88
2028-08-27	north	20	2
2028-08-27	south	5	2
2028-08-27	south	27	6
2028-08-27	tropics	5	14
2028-08-27	tropics	20	8
2028-08-27	tropics	27	90
2028-09-03	north	20	1
2028-09-03	north	27	3
2028-09-03	south	20	1
2028-09-03	south	27	12
2028-09-03	tropics	5	27
2028-09-03	tropics	12	1
2028-09-03	tropics	20	18
2028-09-03	tropics	27	85
2028-09-10	north	20	3
2028-09-10	north	27	2
2028-09-10	south	5	4
2028-09-10	south	20	1
2028-09-10	south	27	10
2028-09-10	tropics	5	21
2028-09-10	tropics	12	1
2028-09-10	tropics	20	10
2028-09-10	tropics	27	78
2028-09-17	north	5	1
2028-09-17	north	20	1
2028-09-17	north	27	1
2028-09-17	south	5	2
2028-09-17	south	20	2
2028-09-17	south	27	7
2028-09-17	tropics	5	22
2028-09-17	tropics	20	7
2028-09-17	tropics	27	65
2028-09-24	north	20	2
2028-09-24	north	27	2
2028-09-24	south	5	5
2028-09-24	south	20	4
2028-09-24	south	27	15
2028-09-24	tropics	5	27
2028-09-24	tropics	20	5
2028-09-24	tropics	27	77
2028-10-01	north	5	1
2028-10-01	north	20	1
2028-10-01	north	27	1
2028-10-01	south	5	4
2028-10-01	south	20	3
2028-10-01	south	27	9
2028-10-01	tropics	5	35
2028-10-01	tropics	20	2
2028-10-01	tropics	27	107
2028-10-08	north	27	3
2028-10-08	south	5	6
2028-10-08	south	12	1
2028-10-08	south	20	4
2028-10-08	south	27	4
2028-10-08	tropics	5	26
2028-10-08	tropics	20	10
2028-10-08	tropics	27	93
2028-10-15	north	20	1
2028-10-15	north	27	3
2028-10-15	south	2	1
2028-10-15	south	5	6
2028-10-15	south	12	1
2028-10-15	south	20	2
2028-10-15	south	27	11
2028-10-15	tropics	5	21
2028-10-15	tropics	20	3
2028-10-15	tropics	27	74
2028-10-22	north	5	1
2028-10-22	north	20	2
2028-10-22	north	27	5
2028-10-22	south	5	6
2028-10-22	south	20	3
2028-10-22	south	27	15
2028-10-22	tropics	5	28
2028-10-22	tropics	20	1
2028-10-22	tropics	27	64
2028-10-29	north	5	2
2028-10-29	north	20	2
2028-10-29	north	27	4
2028-10-29	south	5	3
2028-10-29	south	20	3
2028-10-29	south	27	6
2028-10-29	tropics	5	28
2028-10-29	tropics	20	5
2028-10-29	tropics	27	63
2028-11-05	north	5	4
2028-11-05	north	20	5
2028-11-05	north	27	4
2028-11-05	south	5	4
2028-11-05	south	20	1
2028-11-05	south	27	10
2028-11-05	tropics	5	20
2028-11-05	tropics	20	3
2028-11-05	tropics	27	66
2028-11-12	north	5	3
2028-11-12	north	20	3
2028-11-12	north	27	5
2028-11-12	south	5	4
2028-11-12	south	20	5
2028-11-12	south	27	6
2028-11-12	tropics	5	35
2028-11-12	tropics	20	2
2028-11-12	tropics	27	52
2028-11-19	north	5	14
2028-11-19	north	20	6
2028-11-19	north	27	7
2028-11-19	south	5	4
2028-11-19	south	20	1
2028-11-19	south	27	11
2028-11-19	tropics	5	33
2028-11-19	tropics	20	2
2028-11-19	tropics	27	45
2028-11-26	north	5	11
2028-11-26	north	20	4
2028-11-26	north	27	14
2028-11-26	south	5	7
2028-11-26	south	20	1
