config,run,method,bg_bin,bg_bin_low,same_rate,null_rate,n_same,n_null
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_phylo,16-31,16,0.0,0.0011547344110854503,95,866
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_phylo,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_tsne,0,0,0.96875,0.7947761194029851,224,1876
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_tsne,1,1,0.42735042735042733,0.14450867052023122,234,1903
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_tsne,2-3,2,0.01078167115902965,0.011002260738507913,742,6635
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_tsne,4-7,4,0.0,0.0006655574043261231,1281,12020
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_tsne,8-15,8,0.0006447453255963894,6.802258349772124e-05,1551,14701
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_tsne,16-31,16,0.0,0.0,95,866
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,variant_tsne,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_ag,0,0,0.9814814814814815,0.9653600729261622,162,1097
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_ag,1,1,0.16666666666666666,0.15674362089914945,204,1646
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_ag,2-3,2,0.02932551319648094,0.03597122302158273,682,5282
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_ag,4-7,4,0.00375234521575985,0.002261066179667797,1599,11499
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_ag,8-15,8,0.00047664442326024784,0.00024078979051288225,2098,16612
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_ag,16-31,16,0.0,0.0,174,1489
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,variant_ag,32+,32,,,0,0
