batch,config,run,method_x,method_y,nid
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,21,variant_ag,variant_tsne,0.2265880275494464
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,21,variant_ag,variant_phylo,0.3406530557417685
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,21,variant_tsne,variant_phylo,0.2856049928270846
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,22,variant_ag,variant_tsne,0.20921243524381805
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,22,variant_ag,variant_phylo,0.2942268592285945
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,22,variant_tsne,variant_phylo,0.2367163340605848
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,29,variant_ag,variant_tsne,0.1954738087863569
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,29,variant_ag,variant_phylo,0.3155770677231976
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,29,variant_tsne,variant_phylo,0.276436081999903
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,5,variant_ag,variant_tsne,0.19813868533252632
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,5,variant_ag,variant_phylo,0.3685188634223937
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,5,variant_tsne,variant_phylo,0.3194061012789112
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,4,variant_ag,variant_tsne,0.17902556846245876
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,4,variant_ag,variant_phylo,0.30102407538065323
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,4,variant_tsne,variant_phylo,0.2543820832932857
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,28,variant_ag,variant_tsne,0.16813233485356138
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,28,variant_ag,variant_phylo,0.29924617994179514
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,28,variant_tsne,variant_phylo,0.2680091745712302
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,6,variant_ag,variant_tsne,0.20029044324371292
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,6,variant_ag,variant_phylo,0.34605499423910924
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,6,variant_tsne,variant_phylo,0.3250082443521771
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,8,variant_ag,variant_tsne,0.21450893753551548
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,8,variant_ag,variant_phylo,0.27583408870032633
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,8,variant_tsne,variant_phylo,0.22347429365188065
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,7,variant_ag,variant_tsne,0.19203632413209992
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,7,variant_ag,variant_phylo,0.27318606241479826
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,7,variant_tsne,variant_phylo,0.22835746561629633
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,9,variant_ag,variant_tsne,0.2717786986516587
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,9,variant_ag,variant_phylo,0.3519869297830873
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,9,variant_tsne,variant_phylo,0.27877912760345425
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,17,variant_ag,variant_tsne,0.22917539271614207
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,17,variant_ag,variant_phylo,0.4212890711846542
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,17,variant_tsne,variant_phylo,0.3569563270856093
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,10,variant_ag,variant_tsne,0.2096895788204749
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,10,variant_ag,variant_phylo,0.2673967813721827
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,10,variant_tsne,variant_phylo,0.21377711967058843
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,12,variant_ag,variant_tsne,0.27614070595135787
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,12,variant_ag,variant_phylo,0.32315876498664453
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,12,variant_tsne,variant_phylo,0.28629391396003745
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0,1,variant_ag,variant_tsne,0.19509575436693627
